symboling,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,fueltype,aspiration,doornumber,enginelocation,carbody_convertible,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,drivewheel_4wd,drivewheel_fwd,drivewheel_rwd,enginetype_dohc,enginetype_dohcv,enginetype_l,enginetype_ohc,enginetype_ohcf,enginetype_ohcv,enginetype_rotor,cylindernumber_eight,cylindernumber_five,cylindernumber_four,cylindernumber_six,cylindernumber_three,cylindernumber_twelve,cylindernumber_two,fuelsystem_1bbl,fuelsystem_2bbl,fuelsystem_4bbl,fuelsystem_idi,fuelsystem_mfi,fuelsystem_mpfi,fuelsystem_spdi,fuelsystem_spfi,price
1,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6692.0
0,95.7,166.3,64.4,53.0,2094,98,3.19,3.03,9.0,70,4800,38,47,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7738.0
1,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7609.0
1,93.7,167.3,63.8,50.8,1989,90,2.97,3.23,9.4,68,5500,31,38,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6692.0
2,97.3,171.7,65.5,55.7,2212,109,3.19,3.4,9.0,85,5250,27,34,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8195.0
2,96.1,176.8,66.6,50.5,2460,132,3.46,3.9,8.7,90,5100,23,31,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9895.0
-1,102.4,175.6,66.5,54.9,2326,122,3.31,3.54,8.7,92,4200,29,34,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8948.0
-1,110.0,190.9,70.3,56.5,3515,183,3.58,3.64,21.5,123,4350,22,25,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25552.0
2,93.7,156.9,63.4,53.7,2050,97,3.62,2.36,9.0,69,4900,31,36,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5118.0
1,105.8,192.7,71.4,55.7,2954,136,3.19,3.4,8.5,110,5500,19,25,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,18920.0
3,95.9,173.2,66.3,50.2,2921,156,3.59,3.86,7.0,145,5000,19,24,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,14869.0
0,97.2,173.4,65.2,54.7,2324,120,3.33,3.47,8.5,97,5200,27,34,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8949.0
1,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,24,30,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7957.0
0,97.0,173.5,65.4,53.0,2455,108,3.62,2.64,9.0,94,5200,25,31,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10198.0
-1,96.3,172.4,65.4,51.6,2403,110,3.17,3.46,7.5,116,5500,23,30,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9279.0
3,95.9,173.2,66.3,50.2,2926,156,3.59,3.86,7.0,145,5000,19,24,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,14489.0
0,103.5,193.8,67.9,53.7,3380,209,3.62,3.39,8.0,182,5400,16,22,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,22563.0
-2,104.3,188.8,67.2,56.2,3045,130,3.62,3.15,7.5,162,5100,17,22,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,18420.0
1,99.2,178.5,67.9,49.7,3139,181,3.43,3.27,9.0,160,5200,19,25,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,18399.0
2,97.3,171.7,65.5,55.7,2264,97,3.01,3.4,23.0,52,4800,37,46,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7995.0
3,96.3,173.0,65.4,49.4,2370,110,3.17,3.46,7.5,116,5500,23,30,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9959.0
1,95.7,158.7,63.6,54.5,1985,92,3.05,3.03,9.0,62,4800,35,39,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5348.0
2,93.7,157.9,63.6,53.7,2120,108,3.62,2.64,8.7,73,4400,26,31,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7053.0
2,93.3,157.3,63.8,55.7,2240,108,3.62,2.64,8.7,73,4400,26,31,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7603.0
1,93.7,167.3,63.8,50.8,2191,98,2.97,3.23,9.4,68,5500,31,38,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7609.0
2,98.4,176.2,65.6,53.0,2975,146,3.62,3.5,9.3,116,4800,24,30,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,17669.0
2,86.6,144.6,63.9,50.8,1819,92,2.91,3.41,9.2,76,6000,31,38,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6855.0
2,93.7,157.3,64.4,50.8,1944,92,2.97,3.23,9.4,68,5500,31,38,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6189.0
1,93.7,150.0,64.0,52.6,1940,92,2.91,3.41,9.2,76,6000,30,34,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6529.0
0,96.5,163.4,64.0,54.5,2010,92,2.91,3.41,9.2,76,6000,30,34,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7295.0
0,94.5,155.9,63.6,52.0,1909,90,3.03,3.11,9.6,70,5400,38,43,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8916.5
2,98.4,176.2,65.6,52.0,2679,146,3.62,3.5,9.3,116,4800,24,30,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11199.0
0,97.2,172.0,65.4,52.5,2190,108,3.62,2.64,9.5,82,4400,28,33,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7775.0
1,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10595.0
0,100.4,184.6,66.5,56.1,3296,181,3.43,3.27,9.0,152,5200,17,22,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14399.0
-1,104.3,188.8,67.2,57.5,3034,141,3.78,3.15,9.5,114,5400,23,28,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13415.0
3,95.3,169.0,65.7,49.6,2385,70,3.33,3.255,9.4,101,6000,17,23,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,13645.0
0,97.0,173.5,65.4,53.0,2290,108,3.62,2.64,9.0,82,4800,28,32,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7463.0
0,104.9,175.0,66.1,54.4,2700,134,3.43,3.64,22.0,72,4200,31,39,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,18344.0
2,99.1,186.6,66.5,56.1,2758,121,3.54,3.07,9.3,110,5250,21,28,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15510.0
0,94.5,158.8,63.6,52.0,1909,90,3.03,3.11,9.6,70,5400,38,43,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6575.0
